Code,Code,county_and_state,county,state,Year,Labor Force,Employed,Unemployed,Unemployment_Rate_percent
49,15,"Emery County, UT",Emery County,UT,2015,"4,377","4,117",260,5.9
49,17,"Garfield County, UT",Garfield County,UT,2015,"2,737","2,498",239,8.7
49,19,"Grand County, UT",Grand County,UT,2015,"5,580","5,247",333,6
49,21,"Iron County, UT",Iron County,UT,2015,"20,224","19,343",881,4.4
49,23,"Juab County, UT",Juab County,UT,2015,"4,912","4,721",191,3.9
49,25,"Kane County, UT",Kane County,UT,2015,"3,606","3,450",156,4.3
49,27,"Millard County, UT",Millard County,UT,2015,"6,094","5,884",210,3.4
49,29,"Morgan County, UT",Morgan County,UT,2015,"4,904","4,754",150,3.1
49,31,"Piute County, UT",Piute County,UT,2015,462,433,29,6.3
49,33,"Rich County, UT",Rich County,UT,2015,"1,040","1,003",37,3.6
49,35,"Salt Lake County, UT",Salt Lake County,UT,2015,"582,490","563,174","19,316",3.3
49,37,"San Juan County, UT",San Juan County,UT,2015,"5,683","5,243",440,7.7
49,39,"Sanpete County, UT",Sanpete County,UT,2015,"11,358","10,898",460,4.1
49,41,"Sevier County, UT",Sevier County,UT,2015,"9,460","9,047",413,4.4
49,43,"Summit County, UT",Summit County,UT,2015,"22,953","22,208",745,3.2
49,45,"Tooele County, UT",Tooele County,UT,2015,"29,380","28,188","1,192",4.1
49,47,"Uintah County, UT",Uintah County,UT,2015,"15,217","14,201","1,016",6.7
49,49,"Utah County, UT",Utah County,UT,2015,"264,713","256,260","8,453",3.2
49,51,"Wasatch County, UT",Wasatch County,UT,2015,"13,190","12,736",454,3.4
49,53,"Washington County, UT",Washington County,UT,2015,"63,328","60,796","2,532",4
49,55,"Wayne County, UT",Wayne County,UT,2015,"1,405","1,280",125,8.9
49,57,"Weber County, UT",Weber County,UT,2015,"116,610","111,928","4,682",4
50,1,"Addison County, VT",Addison County,VT,2015,"20,801","20,088",713,3.4
50,3,"Bennington County, VT",Bennington County,VT,2015,"18,671","17,891",780,4.2
50,5,"Caledonia County, VT",Caledonia County,VT,2015,"15,158","14,460",698,4.6
50,7,"Chittenden County, VT",Chittenden County,VT,2015,"95,366","92,799","2,567",2.7
50,9,"Essex County, VT",Essex County,VT,2015,"2,770","2,612",158,5.7
50,11,"Franklin County, VT",Franklin County,VT,2015,"27,438","26,471",967,3.5
50,13,"Grand Isle County, VT",Grand Isle County,VT,2015,"3,955","3,799",156,3.9
50,15,"Lamoille County, VT",Lamoille County,VT,2015,"13,848","13,212",636,4.6
50,17,"Orange County, VT",Orange County,VT,2015,"15,978","15,435",543,3.4
50,19,"Orleans County, VT",Orleans County,VT,2015,"13,661","12,908",753,5.5
50,21,"Rutland County, VT",Rutland County,VT,2015,"31,435","30,111","1,324",4.2
50,23,"Washington County, VT",Washington County,VT,2015,"34,236","33,055","1,181",3.4
50,25,"Windham County, VT",Windham County,VT,2015,"23,577","22,745",832,3.5
50,27,"Windsor County, VT",Windsor County,VT,2015,"29,621","28,678",943,3.2
51,1,"Accomack County, VA",Accomack County,VA,2015,"15,938","15,082",856,5.4
51,3,"Albemarle County, VA",Albemarle County,VA,2015,"54,136","52,053","2,083",3.8
51,5,"Alleghany County, VA",Alleghany County,VA,2015,"7,075","6,722",353,5
51,7,"Amelia County, VA",Amelia County,VA,2015,"6,215","5,941",274,4.4
51,9,"Amherst County, VA",Amherst County,VA,2015,"15,340","14,618",722,4.7
51,11,"Appomattox County, VA",Appomattox County,VA,2015,"7,066","6,725",341,4.8
51,13,"Arlington County, VA",Arlington County,VA,2015,"144,902","140,880","4,022",2.8
51,15,"Augusta County, VA",Augusta County,VA,2015,"36,791","35,304","1,487",4
51,17,"Bath County, VA",Bath County,VA,2015,"2,546","2,444",102,4
51,19,"Bedford County, VA",Bedford County,VA,2015,"38,381","36,703","1,678",4.4
51,21,"Bland County, VA",Bland County,VA,2015,"2,792","2,635",157,5.6
51,23,"Botetourt County, VA",Botetourt County,VA,2015,"17,459","16,738",721,4.1
51,25,"Brunswick County, VA",Brunswick County,VA,2015,"6,355","5,928",427,6.7
51,27,"Buchanan County, VA",Buchanan County,VA,2015,"7,298","6,517",781,10.7
51,29,"Buckingham County, VA",Buckingham County,VA,2015,"6,317","5,948",369,5.8
51,31,"Campbell County, VA",Campbell County,VA,2015,"26,328","25,100","1,228",4.7
51,33,"Caroline County, VA",Caroline County,VA,2015,"14,790","14,047",743,5
51,35,"Carroll County, VA",Carroll County,VA,2015,"13,100","12,409",691,5.3
51,36,"Charles City County, VA",Charles City County,VA,2015,"3,731","3,535",196,5.3
51,37,"Charlotte County, VA",Charlotte County,VA,2015,"5,271","4,975",296,5.6
51,41,"Chesterfield County, VA",Chesterfield County,VA,2015,"178,675","171,090","7,585",4.2
51,43,"Clarke County, VA",Clarke County,VA,2015,"7,461","7,168",293,3.9
51,45,"Craig County, VA",Craig County,VA,2015,"2,389","2,259",130,5.4
51,47,"Culpeper County, VA",Culpeper County,VA,2015,"23,196","22,202",994,4.3
51,49,"Cumberland County, VA",Cumberland County,VA,2015,"4,573","4,341",232,5.1
51,51,"Dickenson County, VA",Dickenson County,VA,2015,"4,927","4,436",491,10
51,53,"Dinwiddie County, VA",Dinwiddie County,VA,2015,"13,362","12,648",714,5.3
51,57,"Essex County, VA",Essex County,VA,2015,"5,531","5,238",293,5.3
51,59,"Fairfax County, VA",Fairfax County,VA,2015,"616,185","594,499","21,686",3.5
51,61,"Fauquier County, VA",Fauquier County,VA,2015,"35,873","34,477","1,396",3.9
51,63,"Floyd County, VA",Floyd County,VA,2015,"8,326","7,999",327,3.9
51,65,"Fluvanna County, VA",Fluvanna County,VA,2015,"13,214","12,724",490,3.7
