state,county,zipcode,county_name,mean_household_income2000,mean_commutetime,num_degrees_2000,num_degrees_2010,foreign_residents2010,mean_household_income1990,mean_household_income2016,poverty2010,poverty2000,poverty1990,share_white2010,share_black2010,share_hisp2010,share_asian2010,share_black2000,share_white2000,share_hisp2000,share_asian2000,mean_3rdgrade_math_2013,mediangross_rent2015,numsingleparent_households2010,numsingleparent_households1990,numsingleparent_households2000,lessthan15commute_2010,employmentrate_2000,mail_return_rate2010,wage_growth_highschoolers,popdensity2010,popdensity2000,avg_job_growth_2004_13,job_density_2013
36,123,18000,Buffalo,63595.574,25.15229,0.18268904,0.22450024,0.018634092,24947.8304,50605.97562,0.14615455,0.13160142,0.13300636,0.96145654,0.011637999,0.016608806,0.003466195,0.007287957,0.97416484,0.009230931,0.002975223,2.2754357,622.99463,0.3450788,0.19076248,0.28047669,0.41510561,0.59134007,89.271996,,74.962364,72.812393,-0.012223321,32.997875
37,1,500,Greensboro,71037.531,22.983232,0.1955063,0.21068329,0.073734902,28763.76419,45265.7372,0.16339003,0.11034597,0.085328683,0.67304522,0.19456631,0.11009654,0.008808986,0.18523018,0.73365331,0.063799463,0.006445754,3.4556916,735.78265,0.35839897,0.20091693,0.29492876,0.34357974,0.63171732,81.243233,-0.11748834,356.48813,308.54034,0.010991117,168.97514
37,3,1100,Hickory,67076.891,24.013674,0.093927428,0.11691985,0.032813493,26904.70417,42918.07568,0.15032911,0.084916532,0.098068528,0.87829995,0.060755953,0.043039948,0.002136215,0.047325242,0.91019166,0.025050029,0.001916517,4.32691,542.65839,0.20107952,0.15569893,0.23405334,0.28708279,0.69410682,84.457672,-0.004132603,143.07198,129.45616,-0.008669048,62.001194
37,5,602,Galax,57875.172,24.236145,0.11659954,0.16309585,0.077082284,18481.58912,37658.19785,0.2590279,0.17068088,0.20297217,0.88408786,0.01398476,0.090004481,0.002151502,0.012188982,0.93007201,0.049772516,0.001892939,3.3222532,576.10693,0.41257954,0.16981509,0.20923139,0.34655994,0.57825613,87.665993,0.13861957,47.455967,45.444912,-0.013802763,17.144558
37,7,900,Charlotte,57112.082,29.027809,0.091323413,0.084345713,0.015847094,22215.21582,36286.02219,0.20291267,0.17326871,0.16831905,0.45806739,0.49057445,0.030132106,0.005195191,0.47147903,0.50552922,0.008652163,0.002164704,2.614197,603.03619,0.43975943,0.24356346,0.38666427,0.3272616,0.51375663,82.401054,,50.706463,47.558475,-0.000638593,18.601902
37,9,601,North Wilkesboro,54683.73,27.700476,0.12293567,0.17239149,0.033580337,19229.65876,37729.15087,0.17570294,0.13305931,0.18255031,0.93178403,0.008100876,0.048055425,0.003152377,0.007272946,0.96131647,0.024143973,0.0018984,3.4177575,562.39636,0.27859983,0.15318279,0.22259627,0.22695968,0.56592351,87.280258,-0.035037946,64.019768,57.221439,-0.004238626,27.399832
37,11,1001,Boone,56116.719,23.90431,0.14544407,0.19449817,0.035663877,20687.88524,36577.72214,0.17576812,0.15046208,0.14326657,0.90065742,0.040737204,0.044782829,0.002191381,0.038654909,0.92588496,0.024463391,0.001657422,3.1547511,627.39722,0.30361429,0.16174769,0.2165554,0.35295907,0.50688273,82.925209,,72.02726,69.477554,-0.009975729,28.330103
37,13,2100,Washington,59870.75,26.019407,0.15930271,0.18680625,0.044240851,22035.00774,42082.68563,0.17101543,0.19103333,0.18912448,0.66385394,0.2599929,0.066291168,0.003224523,0.28438026,0.67625982,0.032197196,0.002296178,3.4695513,548.76294,0.32409686,0.22388679,0.31875452,0.3393316,0.53620327,83.915756,,57.736294,54.350136,-0.000640103,22.381744
37,15,2600,Roanoke Rapids,51289.465,28.104404,0.08944802,0.10024429,0.007703621,18009.08225,31064.89559,0.23140524,0.23630834,0.25494593,0.34738278,0.62931114,0.012545813,0.004416878,0.62172085,0.36214033,0.009632477,0.00159321,2.3100266,546.95648,0.51296842,0.32982007,0.39874712,0.3248114,0.49295756,81.754036,-0.026875157,30.434639,28.276672,-0.001536212,10.879933
37,17,1500,Wilmington,53315.828,27.716677,0.11353713,0.098245926,0.043155845,18968.03606,30801.27241,0.24267381,0.20629959,0.21605758,0.54680306,0.35416311,0.071099743,0.001790281,0.37132427,0.56753659,0.038172022,0.000818962,2.5719049,600.56238,0.45015365,0.26095793,0.34514588,0.25968248,0.52397108,78.584686,0.049350005,40.248055,36.917496,-0.014974969,14.516292
